round,moody_avg_mood,moody_avg_score,moody_avg_connectivity,sarsa_avg_score,sarsa_avg_connectivity,tft_avg_score,tft_avg_connectivity,wsls_avg_score,wsls_avg_connectivity
30300,0,0,0,0,0,50.0,0.417,50.0,0.718
30400,0,0,0,0,0,50.0,0.5,50.0,0.762
30500,0,0,0,0,0,50.0,0.25,50.0,0.736
30600,0,0,0,0,0,50.0,0.333,50.0,0.74
30700,0,0,0,0,0,50.0,0.5,50.0,0.808
30800,0,0,0,0,0,50.0,0.667,50.0,0.757
30900,0,0,0,0,0,50.0,0.333,50.0,0.714
31000,0,0,0,0,0,50.0,0.417,50.0,0.815
31100,0,0,0,0,0,50.0,0.5,50.0,0.748
31200,0,0,0,0,0,50.0,0.25,50.0,0.768
31300,0,0,0,0,0,50.0,0.5,50.0,0.778
31400,0,0,0,0,0,50.0,0.75,50.0,0.745
31500,0,0,0,0,0,50.0,0.333,50.0,0.768
31600,0,0,0,0,0,50.0,0.5,50.0,0.697
31700,0,0,0,0,0,50.0,0.417,50.0,0.716
31800,0,0,0,0,0,50.0,0.5,50.0,0.741
31900,0,0,0,0,0,50.0,0.583,50.0,0.753
32000,0,0,0,0,0,50.0,0.417,50.0,0.765
32100,0,0,0,0,0,50.0,0.417,50.0,0.716
32200,0,0,0,0,0,50.0,0.583,50.0,0.734
32300,0,0,0,0,0,50.0,0.5,50.0,0.797
32400,0,0,0,0,0,50.0,0.583,50.0,0.722
32500,0,0,0,0,0,50.0,0.333,50.0,0.722
32600,0,0,0,0,0,50.0,0.583,50.0,0.733
32700,0,0,0,0,0,50.0,0.5,50.0,0.73
32800,0,0,0,0,0,50.0,0.333,50.0,0.713
32900,0,0,0,0,0,50.0,0.25,50.0,0.722
33000,0,0,0,0,0,50.0,0.333,50.0,0.696
33100,0,0,0,0,0,50.0,0.417,50.0,0.773
33200,0,0,0,0,0,50.0,0.5,50.0,0.775
33300,0,0,0,0,0,50.0,0.5,50.0,0.7
33400,0,0,0,0,0,50.0,0.25,50.0,0.74
