round,moody_avg_mood,moody_avg_score,moody_avg_connectivity,sarsa_avg_score,sarsa_avg_connectivity,tft_avg_score,tft_avg_connectivity,wsls_avg_score,wsls_avg_connectivity
37300,99.433,3.372,0.365,3.683,0.01,50.0,0.468,50.0,0.452
37400,99.633,3.372,0.366,3.683,0.002,50.0,0.482,50.0,0.47
37500,99.733,3.373,0.36,3.683,0.0,50.0,0.474,50.0,0.445
37600,99.567,3.373,0.362,3.683,0.0,50.0,0.467,50.0,0.452
37700,99.767,3.374,0.356,3.683,0.0,50.0,0.477,50.0,0.454
37800,99.667,3.374,0.358,3.683,0.0,50.0,0.473,50.0,0.457
37900,99.633,3.375,0.365,3.683,0.0,50.0,0.472,50.0,0.457
38000,99.667,3.375,0.358,3.683,0.0,50.0,0.457,50.0,0.442
38100,98.367,3.373,0.529,3.684,0.268,50.0,0.552,50.0,0.536
38200,98.8,3.372,0.409,3.685,0.05,50.0,0.489,50.0,0.468
38300,99.467,3.372,0.364,3.685,0.006,50.0,0.458,50.0,0.441
38400,99.633,3.373,0.354,3.685,0.0,50.0,0.453,50.0,0.457
38500,99.6,3.373,0.363,3.685,0.0,50.0,0.48,50.0,0.455
38600,99.767,3.373,0.362,3.685,0.0,50.0,0.473,50.0,0.46
38700,99.767,3.374,0.361,3.685,0.0,50.0,0.464,50.0,0.444
38800,99.6,3.374,0.359,3.685,0.0,50.0,0.46,50.0,0.441
38900,99.6,3.374,0.356,3.685,0.0,50.0,0.461,50.0,0.459
39000,99.5,3.375,0.359,3.685,0.0,50.0,0.462,50.0,0.451
39100,98.167,3.373,0.53,3.687,0.272,50.0,0.523,50.0,0.524
39200,98.8,3.372,0.403,3.686,0.059,50.0,0.486,50.0,0.471
39300,99.533,3.372,0.37,3.686,0.006,50.0,0.484,50.0,0.459
39400,99.667,3.373,0.353,3.686,0.002,50.0,0.479,50.0,0.443
39500,99.633,3.373,0.357,3.686,0.0,50.0,0.452,50.0,0.42
39600,99.733,3.373,0.346,3.686,0.0,50.0,0.458,50.0,0.435
